id,set
10001,train
100095,train
100105,train
100112,train
100115,train
100117,train
100122,train
100143,train
100286,train
100335,train
100338,train
100339,train
100391,train
100407,train
100425,train
100437,train
100443,train
100473,train
100493,train
100508,train
100546,train
100550,train
100651,train
100665,train
100678,train
100729,train
100730,train
100731,train
100739,train
100748,train
100784,train
100789,train
100790,train
100793,train
100800,train
100803,train
100806,train
100823,train
100828,train
100878,train
100936,train
10095,train
10097,train
100998,train
101016,train
101022,train
101023,train
101041,train
101047,train
101050,train
101083,train
101113,train
10115,train
101177,train
101181,train
101193,train
101208,train
101228,train
101231,train
101242,train
101266,train
101298,train
101308,train
101325,train
101416,train
101427,train
101436,train
101440,train
101520,train
101525,train
101533,train
101539,train
10153,train
101544,train
10154,train
10155,train
101613,train
10162,train
101637,train
101640,train
101697,train
101751,train
101781,train
101787,train
101806,train
10183,train
101856,train
101878,train
101893,train
10189,train
101926,train
10202,train
102031,train
102136,train
10220,train
102223,train
102235,train
102287,train
102304,train
102376,train
102387,train
102414,train
102416,train
102421,train
102429,train
102440,train
102504,train
102545,train
102572,train
102632,train
102761,train
102767,train
102782,train
102789,train
102814,train
102822,train
102826,train
102855,train
102934,train
102936,train
102939,train
102944,train
102970,train
102989,train
1029,train
103037,train
10309,train
103101,train
10311,train
10318,train
103194,train
10319,train
10332,train
103356,train
10336,train
10338,train
103398,train
103457,train
103480,train
103536,train
103549,train
103557,train
103560,train
103564,train
103575,train
103577,train
103578,train
103584,train
103602,train
103644,train
103650,train
103655,train
103658,train
10368,train
103693,train
103694,train
103738,train
10373,train
103746,train
103757,train
103769,train
10376,train
103826,train
103843,train
103896,train
103910,train
103975,train
103976,train
103988,train
104020,train
104022,train
104106,train
104162,train
104167,train
104174,train
104180,train
104268,train
104269,train
10427,train
104280,train
10430,train
104315,train
104317,train
104330,train
104357,train
104406,train
104443,train
104494,train
104583,train
1045,train
104601,train
104618,train
10463,train
104641,train
104677,train
104680,train
104697,train
104737,train
104820,train
104924,train
104927,train
10493,train
104995,train
105026,train
105033,train
105044,train
105078,train
105088,train
105094,train
105099,train
1050,train
105108,train
105125,train
105127,train
105136,train
10513,train
105143,train
105185,train
10521,train
105228,train
105230,train
10523,train
105296,train
105319,train
105347,train
105369,train
10540,train
105435,train
105465,train
105490,train
105498,train
105537,train
10554,train
105566,train
105572,train
105632,train
105652,train
105653,train
105678,train
105717,train
105730,train
105776,train
10577,train
105800,train
105803,train
105818,train
10587,train
10594,train
10597,train
105981,train
106000,train
106005,train
106007,train
106031,train
106049,train
106095,train
106129,train
106195,train
106279,train
106290,train
106354,train
106470,train
106582,train
106631,train
106673,train
106686,train
106731,train
106765,train
10680,train
106818,train
106834,train
10685,train
106877,train
106908,train
106945,train
106953,train
106966,train
106984,train
107031,train
107073,train
10707,train
107083,train
107092,train
107098,train
107104,train
107109,train
107116,train
107128,train
107151,train
107186,train
107191,train
107213,train
1072,train
107349,train
107409,train
107457,train
107535,train
107581,train
10759,train
107600,train
107612,train
107628,train
107709,train
107746,train
107748,train
10774,train
10780,train
107842,train
107865,train
107867,train
107869,train
107875,train
107886,train
107896,train
107928,train
107945,train
107950,train
107958,train
107983,train
107993,train
108007,train
108011,train
108018,train
108024,train
108038,train
108124,train
10813,train
108161,train
108184,train
108189,train
108208,train
108211,train
108244,train
108271,train
10827,train
108363,train
108366,train
108384,train
10845,train
108493,train
10852,train
108531,train
108554,train
108635,train
108695,train
108774,train
108815,train
108878,train
108893,train
108913,train
108990,train
109023,train
109072,train
109087,train
109119,train
109166,train
109188,train
109220,train
109241,train
109256,train
109264,train
10934,train
109370,train
109383,train
109472,train
109508,train
109548,train
109566,train
109569,train
109580,train
109590,train
109598,train
109650,train
109657,train
109700,train
109702,train
109722,train
109783,train
109821,train
109856,train
109874,train
109878,train
10991,train
109960,train
109997,train
110001,train
110023,train
110025,train
110070,train
110071,train
110108,train
110150,train
11017,train
110190,train
110207,train
110227,train
110231,train
110238,train
110244,train
110266,train
110317,train
110323,train
110347,train
110351,train
110361,train
110396,train
110408,train
11044,train
110526,train
110555,train
110565,train
11056,train
11061,train
110621,train
110641,train
110642,train
110661,train
110676,train
110679,train
110718,train
11072,train
11074,train
11077,train
11079,train
110821,train
110844,train
110868,train
110909,train
110928,train
110984,train
11099,train
111004,train
111019,train
111121,train
111164,train
111198,train
111224,train
111226,train
111321,train
111327,train
111355,train
111367,train
111406,train
111430,train
111473,train
111521,train
111533,train
111555,train
111557,train
111564,train
111596,train
111707,train
111721,train
111725,train
111732,train
111776,train
11178,train
111802,train
111819,train
111848,train
111849,train
111883,train
111896,train
111908,train
111951,train
112064,train
112086,train
112090,train
112123,train
112132,train
112157,train
112175,train
112180,train
112190,train
112204,train
112249,train
112264,train
112304,train
112323,train
11234,train
112362,train
112410,train
112435,train
112464,train
112593,train
112613,train
112627,train
11265,train
11268,train
112800,train
112824,train
112837,train
112839,train
112874,train
112883,train
112890,train
112923,train
112934,train
112935,train
112937,train
112939,train
11293,train
112982,train
112984,train
11300,train
113040,train
11307,train
11315,train
113191,train
113198,train
113227,train
113228,train
113235,train
113253,train
113292,train
11330,train
113314,train
113363,train
113382,train
113405,train
113431,train
113454,train
11348,train
113589,train
113614,train
113619,train
113620,train
113644,train
11376,train
113780,train
113869,train
113881,train
113903,train
113908,train
113936,train
113953,train
113969,train
113970,train
113994,train
113996,train
114010,train
114039,train
114057,train
114098,train
114104,train
114105,train
11412,train
114140,train
114141,train
114156,train
114164,train
114222,train
114236,train
114286,train
11428,train
114303,train
114326,train
114489,train
11449,train
114520,train
114577,train
11459,train
114611,train
114631,train
11466,train
114670,train
114686,train
114690,train
114691,train
114707,train
114722,train
114792,train
114902,train
114936,train
114947,train
114962,train
114965,train
115003,train
115014,train
115019,train
11501,train
115023,train
115029,train
115042,train
115054,train
115060,train
11511,train
115187,train
115229,train
115231,train
115250,train
115298,train
115308,train
115310,train
115314,train
115353,train
115365,train
115373,train
11544,train
115454,train
115523,train
11553,train
115550,train
115562,train
115574,train
115581,train
115583,train
115609,train
11560,train
115617,train
115703,train
115709,train
115719,train
115729,train
115826,train
115865,train
11597,train
11602,train
116060,train
116095,train
116122,train
116193,train
116209,train
116210,train
11628,train
116296,train
116307,train
116366,train
116416,train
116459,train
11646,train
116493,train
116503,train
116660,train
11666,train
116687,train
116714,train
116718,train
116772,train
116788,train
116799,train
116811,train
116838,train
116848,train
116850,train
116853,train
116865,train
116910,train
116947,train
117168,train
117172,train
117184,train
117188,train
117204,train
117207,train
117316,train
117351,train
117352,train
117373,train
1173,train
11740,train
117465,train
117521,train
117544,train
11754,train
117694,train
117771,train
117806,train
11780,train
117880,train
117902,train
117915,train
117926,train
117929,train
117966,train
118055,train
118071,train
118099,train
118118,train
11811,train
118125,train
118178,train
118186,train
118308,train
118311,train
118330,train
118389,train
11838,train
118438,train
118492,train
118510,train
118521,train
118539,train
118551,train
118566,train
118569,train
118575,train
118584,train
118588,train
118616,train
118637,train
11867,train
118686,train
118689,train
11868,train
118707,train
118736,train
118745,train
118767,train
118769,train
118803,train
118849,train
118854,train
118885,train
118887,train
118889,train
118926,train
118945,train
119034,train
11904,train
119075,train
119103,train
119117,train
119168,train
119191,train
119196,train
119213,train
119232,train
119237,train
119243,train
119266,train
119294,train
119314,train
119317,train
119335,train
119364,train
119366,train
119373,train
119411,train
119415,train
119422,train
119432,train
119433,train
119442,train
11944,train
119531,train
119532,train
119539,train
119574,train
119669,train
119738,train
119759,train
119784,train
119797,train
119798,train
119806,train
119829,train
119842,train
119846,train
119847,train
11985,train
119865,train
119868,train
119873,train
119887,train
119893,train
119966,train
119986,train
120002,train
120031,train
120039,train
120042,train
120043,train
120048,train
120051,train
120091,train
120115,train
120131,train
120139,train
120155,train
120160,train
120161,train
120174,train
120186,train
120189,train
12019,train
12032,train
120332,train
120392,train
120395,train
120400,train
120402,train
120407,train
120441,train
120467,train
120475,train
120492,train
120523,train
12052,train
120530,train
12053,train
120563,train
120584,train
120607,train
120617,train
120619,train
120654,train
120659,train
120685,train
